Support Vector Machines:
    [area_MAX] 	            Mean Val: 1.16, Min Val: 0, Max Val: 5, StdErr: 1.146472851837321
    [concave_points_SE] 	 Mean Val: 8.37, Min Val: 1, Max Val: 15, StdErr: 3.369436154611035
    [concavity_MAX] 	 Mean Val: 9.86, Min Val: 1, Max Val: 23, StdErr: 5.964930846204338
    [concavity_SE] 	 Mean Val: 9.86, Min Val: 1, Max Val: 19, StdErr: 4.249752933995104
    [smoothness_SE] 	 Mean Val: 10.65, Min Val: 2, Max Val: 18, StdErr: 3.9354161152284775
    [compactness_SE] 	 Mean Val: 10.83, Min Val: 1, Max Val: 17, StdErr: 3.8757063872280106
    [compactness_MAX] 	 Mean Val: 11.27, Min Val: 2, Max Val: 22, StdErr: 5.870017035750407
    [radius_MAX] 	 Mean Val: 12.17, Min Val: 0, Max Val: 26, StdErr: 7.476703819197334
    [fractal_dimension] 	 Mean Val: 12.37, Min Val: 1, Max Val: 22, StdErr: 6.09697465961603
    [concave_points] 	 Mean Val: 13.54, Min Val: 0, Max Val: 24, StdErr: 7.608442679024401
    [symmetry] 	 Mean Val: 15.01, Min Val: 1, Max Val: 23, StdErr: 5.197104963342572
    [radius_SE] 	 Mean Val: 15.7, Min Val: 1, Max Val: 26, StdErr: 6.068772528279504
    [smoothness] 	 Mean Val: 16.58, Min Val: 1, Max Val: 27, StdErr: 6.942881246283852
    [perimeter_MAX] 	 Mean Val: 17.16, Min Val: 0, Max Val: 29, StdErr: 9.639211586016774
    [concavity] 	 Mean Val: 17.57, Min Val: 0, Max Val: 25, StdErr: 5.089705295987186
    [texture_MAX] 	 Mean Val: 18.26, Min Val: 1, Max Val: 29, StdErr: 8.981781560470061
    [compactness] 	 Mean Val: 18.68, Min Val: 5, Max Val: 26, StdErr: 4.681623649974441
    [texture_SE] 	 Mean Val: 18.79, Min Val: 1, Max Val: 26, StdErr: 5.292060090361787
    [perimeter_SE] 	 Mean Val: 19.8, Min Val: 1, Max Val: 27, StdErr: 5.11859355682789
    [area_MAX] 	 Mean Val: 21.65, Min Val: 0, Max Val: 29, StdErr: 11.137661334409481
    [texture] 	 Mean Val: 23.01, Min Val: 1, Max Val: 29, StdErr: 7.161696726335177
    [perimeter] 	 Mean Val: 23.28, Min Val: 0, Max Val: 29, StdErr: 6.4916561831323145
    [radius] 	 Mean Val: 23.82, Min Val: 1, Max Val: 29, StdErr: 4.1337150361388
    [area_SE] 	 Mean Val: 24.26, Min Val: 0, Max Val: 29, StdErr: 6.368076632704729
    [area] 	 Mean Val: 25.09, Min Val: 1, Max Val: 29, StdErr: 8.007615125616365

